time_id,hour,minute,time_am_or_pm
05038,5,38,AM
05039,5,39,AM
05040,5,40,AM
05041,5,41,AM
05042,5,42,AM
05043,5,43,AM
05044,5,44,AM
05045,5,45,AM
05046,5,46,AM
05047,5,47,AM
05048,5,48,AM
05049,5,49,AM
05050,5,50,AM
05051,5,51,AM
05052,5,52,AM
05053,5,53,AM
05054,5,54,AM
05055,5,55,AM
05056,5,56,AM
05057,5,57,AM
05058,5,58,AM
05059,5,59,AM
0600,6,0,AM
0601,6,1,AM
0602,6,2,AM
0603,6,3,AM
0604,6,4,AM
0605,6,5,AM
0606,6,6,AM
0607,6,7,AM
0608,6,8,AM
0609,6,9,AM
06010,6,10,AM
06011,6,11,AM
06012,6,12,AM
06013,6,13,AM
06014,6,14,AM
06015,6,15,AM
06016,6,16,AM
06017,6,17,AM
06018,6,18,AM
06019,6,19,AM
06020,6,20,AM
06021,6,21,AM
06022,6,22,AM
06023,6,23,AM
06024,6,24,AM
06025,6,25,AM
06026,6,26,AM
06027,6,27,AM
06028,6,28,AM
06029,6,29,AM
06030,6,30,AM
06031,6,31,AM
06032,6,32,AM
06033,6,33,AM
06034,6,34,AM
06035,6,35,AM
06036,6,36,AM
06037,6,37,AM
06038,6,38,AM
06039,6,39,AM
06040,6,40,AM
06041,6,41,AM
06042,6,42,AM
06043,6,43,AM
06044,6,44,AM
06045,6,45,AM
06046,6,46,AM
06047,6,47,AM
06048,6,48,AM
06049,6,49,AM
06050,6,50,AM
06051,6,51,AM
06052,6,52,AM
06053,6,53,AM
06054,6,54,AM
06055,6,55,AM
06056,6,56,AM
06057,6,57,AM
06058,6,58,AM
06059,6,59,AM
0700,7,0,AM
0701,7,1,AM
0702,7,2,AM
0703,7,3,AM
0704,7,4,AM
0705,7,5,AM
0706,7,6,AM
0707,7,7,AM
0708,7,8,AM
0709,7,9,AM
07010,7,10,AM
07011,7,11,AM
07012,7,12,AM
07013,7,13,AM
07014,7,14,AM
07015,7,15,AM
07016,7,16,AM
07017,7,17,AM
07018,7,18,AM
07019,7,19,AM
07020,7,20,AM
07021,7,21,AM
07022,7,22,AM
07023,7,23,AM
07024,7,24,AM
07025,7,25,AM
07026,7,26,AM
07027,7,27,AM
07028,7,28,AM
07029,7,29,AM
07030,7,30,AM
07031,7,31,AM
07032,7,32,AM
07033,7,33,AM
07034,7,34,AM
07035,7,35,AM
07036,7,36,AM
07037,7,37,AM
07038,7,38,AM
07039,7,39,AM
07040,7,40,AM
07041,7,41,AM
07042,7,42,AM
07043,7,43,AM
07044,7,44,AM
07045,7,45,AM
07046,7,46,AM
07047,7,47,AM
07048,7,48,AM
07049,7,49,AM
07050,7,50,AM
07051,7,51,AM
07052,7,52,AM
07053,7,53,AM
07054,7,54,AM
07055,7,55,AM
07056,7,56,AM
07057,7,57,AM
07058,7,58,AM
07059,7,59,AM
0800,8,0,AM
0801,8,1,AM
0802,8,2,AM
0803,8,3,AM
0804,8,4,AM
0805,8,5,AM
0806,8,6,AM
0807,8,7,AM
0808,8,8,AM
0809,8,9,AM
08010,8,10,AM
08011,8,11,AM
08012,8,12,AM
08013,8,13,AM
08014,8,14,AM
08015,8,15,AM
08016,8,16,AM
08017,8,17,AM
08018,8,18,AM
08019,8,19,AM
08020,8,20,AM
08021,8,21,AM
08022,8,22,AM
08023,8,23,AM
08024,8,24,AM
08025,8,25,AM
08026,8,26,AM
08027,8,27,AM
08028,8,28,AM
08029,8,29,AM
08030,8,30,AM
08031,8,31,AM
08032,8,32,AM
08033,8,33,AM
08034,8,34,AM
08035,8,35,AM
08036,8,36,AM
08037,8,37,AM
08038,8,38,AM
08039,8,39,AM
08040,8,40,AM
08041,8,41,AM
08042,8,42,AM
08043,8,43,AM
08044,8,44,AM
08045,8,45,AM
08046,8,46,AM
08047,8,47,AM
08048,8,48,AM
08049,8,49,AM
